latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
35.45133,128.78194,301.14,3.92,1.84,2025-03-21,0202,Terra,MODIS,40,6.1NRT,290.09,33.31,D
35.26223,127.81084,305.22,2.08,1.4,2025-03-21,1304,Terra,MODIS,63,6.1NRT,283.03,26.76,N
36.986,126.70511,306.75,1.03,1.02,2025-03-21,1836,Aqua,MODIS,69,6.1NRT,281.83,12.68,N
35.25481,127.79831,307.54,1.17,1.08,2025-03-21,1838,Aqua,MODIS,32,6.1NRT,280.96,13.01,N
37.48308,129.05959,306.36,1.21,1.09,2025-03-22,0105,Terra,MODIS,63,6.1NRT,294.24,6.22,D
35.25214,127.80287,310.19,1.31,1.13,2025-03-22,0105,Terra,MODIS,69,6.1NRT,292.4,11.25,D
35.25069,127.81606,302.58,1.31,1.13,2025-03-22,0105,Terra,MODIS,33,6.1NRT,290.99,4.28,D
35.23302,127.83176,365.98,1,1,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,303.5,98.13,D
34.81987,127.05025,314.26,1.02,1.01,2025-03-22,0540,Aqua,MODIS,71,6.1NRT,295.92,10.24,D
34.94485,127.20448,308.72,1.01,1,2025-03-22,0540,Aqua,MODIS,59,6.1NRT,295.28,6.91,D
35.27742,128.85564,311.17,1.02,1.01,2025-03-22,0540,Aqua,MODIS,44,6.1NRT,298.24,4.07,D
35.28772,128.86453,383.15,1.02,1.01,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,301.49,166.06,D
35.28623,128.85367,425.25,1.02,1.01,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,318.69,447.54,D
35.28475,128.84293,334.26,1.02,1.01,2025-03-22,0540,Aqua,MODIS,87,6.1NRT,302.81,28.66,D
35.29655,128.86272,342.66,1.02,1.01,2025-03-22,0540,Aqua,MODIS,92,6.1NRT,295.82,43.6,D
35.29506,128.85188,404.38,1.02,1.01,2025-03-22,0540,Aqua,MODIS,100,6.1NRT,308.04,282.1,D
35.29358,128.84114,337.46,1.02,1.01,2025-03-22,0540,Aqua,MODIS,89,6.1NRT,302.55,33.57,D
