grid_id,road_dens_km_km2
4495869,0.354
4495870,0.697
4495871,0.724
4495872,0.613
4495873,0.878
4495874,0.833
4495875,1.286
4495876,1.679
4495877,1.045
4495878,0.536
4495879,0.386
4495880,0.507
4495881,0.112
4495882,0.098
4495883,0.58
4495884,1.193
4495885,1.928
4495886,2.659
4495887,1.127
4495888,0.0
4495910,0.0
4495911,0.0
4495912,0.0
4495917,0.0
4495918,0.014
4495919,0.097
4492250,0.0
4492251,0.0
4492252,0.0
4492253,0.0
4492254,0.0
4492255,0.0
4492258,0.0
4492259,0.132
4492260,0.032
4492261,0.14
4492262,0.146
4492263,1.493
4492264,1.706
4492265,0.773
4492266,0.539
4492267,0.57
4492268,0.585
4492269,0.551
4492270,0.79
4492271,0.859
4492272,0.547
4492273,0.706
4492274,0.138
4492275,0.745
4492276,2.237
4492277,1.729
4492278,0.663
4492279,0.568
4492280,0.48
4492281,0.004
4492282,0.007
4492283,0.221
4492284,0.167
4492285,0.436
4492286,0.846
4492287,0.272
4492288,0.0
4492292,0.0
4492293,0.0
4492294,0.036
4492295,0.0
4492310,0.0
4492311,0.0
4492312,0.0
4492315,0.0
4492316,0.032
4492317,0.106
4492318,0.221
4492319,0.29
4488650,0.0
4488651,0.0
4488652,0.0
4488653,0.0
4488654,0.0
4488655,0.0
4488657,0.124
4488658,0.127
4488659,0.061
4488660,0.071
4488661,0.133
4488662,0.315
4488663,0.5
4488664,0.285
4488665,0.739
4488666,0.471
4488667,0.527
4488668,0.519
4488669,0.515
4488670,0.36
4488671,0.254
4488672,0.61
4488673,0.691
4488674,0.355
4488675,0.251
4488676,0.776
4488677,1.139
4488678,0.456
4488679,0.427
4488680,0.351
4488681,0.0
4488682,0.0
4488683,0.0
4488684,0.0
4488685,0.057
4488686,0.255
4488687,0.182
4488691,0.0
4488692,0.0
4488693,0.11
4488694,0.16
4488695,0.0
4488710,0.0
4488711,0.0
4488712,0.0
4488713,0.0
4488714,0.0
4488715,0.07
4488716,0.208
4488717,0.285
4488718,0.316
4488719,0.342
4485050,0.0
4485051,0.0
4485052,0.0
4485053,0.0
4485054,0.0
4485057,0.124
4485058,0.039
4485059,0.005
4485060,0.123
4485061,0.205
4485062,0.616
4485063,0.574
4485064,0.834
4485065,0.809
4485066,0.683
4485067,0.387
4485068,0.425
4485069,0.365
4485070,0.129
4485071,0.561
4485072,0.603
4485073,0.553
4485074,0.347
